LigandID;heavyAtomSize;flexibility
0EG;27;0.186441
0EH;13;0.212121
0EJ;39;0.237288
0EK;68;0.22973
0EL;68;0.228188
0EM;46;0.232323
0EN;32;0.138462
0EO;45;0.217822
0ET;60;0.258333
0EU;36;0.0921053
0EV;33;0.130435
0EX;34;0.138462
0EY;23;0.1
0EZ;43;0.129032
0F0;37;0.173913
0F1;14;0.0526316
0F2;32;0.121212
0F3;15;0.125
0F4;37;0.131148
0F5;28;0.0925926
0F7;37;0.263889
0F9;13;0.047619
0FA;13;0.185185
0FG;28;0.192982
0FI;9;0.125
0FK;14;0.0434783
0FL;9;0.25
0FN;13;0.0526316
0FO;13;0
0FP;51;0.236842
0FQ;57;0.235294
0FR;16;0.0740741
0FS;18;0.08
0FT;24;0.0930233
0FU;10;0
0FV;20;0.210526
0FW;34;0.142857
0FX;35;0.125
0FY;40;0.116883
0FZ;22;0.075
0G;24;0.1
0G0;24;0.1
0G1;31;0.1
0G2;29;0.0892857
0G4;28;0.186047
0G5;18;0.212121
0G6;31;0.212121
0G7;31;0.222222
0G8;23;0.162162
0GA;17;0.148148
0GD;25;0.122449
0GE;42;0.246914
0GF;11;0.0555556
0GG;19;0.2
0GH;47;0.197917
0GJ;26;0.301887
0GM;62;0.0859375
0GO;40;0.153846
0GQ;57;0.201613
0GR;30;0.192982
0GS;31;0.105263
0GT;35;0.111111
0GU;39;0.0731707
0GV;29;0.0657895
0GX;30;0.114754
0GY;14;0.210526
0GZ;13;0.117647
0H2;30;0.0181818
0H3;32;0.184615
0H4;28;0.134615
0H5;19;0.0882353
0H6;28;0.163265
0H7;22;0.0714286
0H8;32;0.238806
0H9;16;0.193548
0HD;21;0.153846
0HG;28;0.27451
0HH;29;0.31746
0HK;26;0.0961538
0HL;37;0.134328
0HM;31;0.137931
0HN;12;0.0526316
0HO;12;0.0588235
0HQ;3;0
0HT;37;0.223529
0HV;23;0.108108
0HW;26;0.226415
0HX;20;0.170732
0HY;20;0.117647
0HZ;18;0.128205
0I5;30;0.206349
0IN;18;0.0625
0IT;32;0.21875
0IU;45;0.19
0IV;35;0.169014
0IW;41;0.178571
0J0;29;0.0655738
0J2;19;0.0967742
0J3;32;0.105263
0J4;18;0.0714286
0J5;17;0.08
0J6;23;0.108108
0J7;26;0.119048
0J8;36;0.114754
0J9;24;0.0434783
0JA;38;0.16129
0JB;23;0.108108
0JC;12;0
0JD;13;0.0454545
0JE;26;0.163265
0JF;36;0.138889
0JG;29;0.153846
0JH;32;0.15873
0JJ;29;0.102041
0JK;27;0.0625
0JL;33;0.118644
0JM;26;0.125
0JN;25;0.0612245
0JO;21;0.176471
0JP;22;0.075
0JQ;31;0.078125
0JR;22;0.222222
0JT;10;0.166667
0JU;9;0.210526
0JV;44;0.188889
0JW;15;0.12
0JX;14;0.26087
0JY;10;0.125
0JZ;36;0.0434783
0K0;28;0.12963
0K1;33;0.0757576
0K2;14;0.304348
0K3;45;0.216216
0K5;35;0.133333
0K6;33;0.0895522
0K7;15;0.08
0K9;42;0.144444
0KA;8;0
0KB;25;0.179487
0KC;20;0.153846
0KD;23;0.108108
0KE;30;0.134615
0KF;32;0.140351
0KG;21;0.142857
0KH;23;0.166667
0KJ;40;0.189873
0KK;20;0.0540541
0KL;34;0.210526
0KM;28;0.0769231
0KN;40;0.137931
0KO;34;0.109375
0KP;26;0.0638298
0KQ;24;0.0681818
0KR;26;0.0816327
0KS;27;0.146341
0KT;32;0.157895
0KU;28;0.150943
0KV;35;0.169014
0KW;29;0.160714
0KX;28;0.173913
0KY;17;0.125
0KZ;22;0.097561
0L0;37;0.136364
0L1;10;0.263158
0L3;48;0.25
0L4;36;0.193548
0L5;46;0.264368
0L6;34;0.2
0L7;37;0.190476
0L8;21;0.0833333
0L9;25;0.0952381
0LA;19;0.0606061
0LB;29;0.118644
0LC;30;0.101695
0LD;33;0.125
0LF;19;0.170732
0LG;46;0.0967742
0LH;12;0.08
0LI;39;0.114286
0LJ;27;0.152174
0LK;27;0.152174
0LL;24;0.121951
0LM;25;0.0980392
0LN;42;0.0235294
0LO;15;0.08
0LP;29;0.163636
0LQ;37;0.084507
0LR;24;0.08
0LS;27;0.109091
0LT;33;0.178082
0LU;23;0.0816327
0LV;13;0.0357143
0LW;23;0.0816327
0LX;29;0.224138
0LY;23;0.104167
0LZ;25;0.136364
0M1;24;0.159091
0M2;22;0.0444444
0M3;34;0.132353
0M4;23;0.136364
0M5;23;0.159091
0M6;24;0.235294
0M7;16;0.235294
0M8;18;0.25
0M9;14;0.214286
0MA;34;0.0119048
0MB;18;0.0555556
0MC;46;0.170213
0MD;46;0.170213
0ME;24;0.0816327
0MF;40;0.132353
0MG;14;0.25
0MH;40;0.132353
0MJ;35;0.102941
0MK;10;0
0ML;16;0.16129
0MM;31;0.0980392
0MN;28;0.142857
0MO;20;0.162791
0MP;35;0.131579
0MQ;17;0.138889
0MR;41;0.128571
0MS;29;0.0769231
0MT;33;0.0943396
0MU;28;0.254902
0MV;23;0.0487805
0MW;17;0.243243
0MX;34;0.127273
0MY;27;0.0888889
0MZ;30;0.148936
0N0;41;0.142857
0N1;41;0.0823529
0N2;34;0.126984
0N3;18;0.2
0N4;19;0.166667
0N5;29;0.12
0N6;31;0.133333
0N7;13;0
0N8;29;0.127273
0N9;17;0.0769231
0NA;19;0.172414
0NB;20;0.166667
0NC;7;0.125
0ND;20;0.166667
0NE;23;0.181818
0NF;39;0.0972222
0NG;10;0.25
0NH;23;0.0444444
0NJ;18;0.0666667
0NK;22;0.152174
0NL;25;0.0980392
0NM;3;0
0NN;32;0.112676
0NP;19;0.0967742
0NQ;36;0.12
0NR;42;0.097561
